Order ID,Order Date,Customer Region,Product Category,Product Name,Quantity,Unit Price,Total Amount,Payment Method
NG-1038,2024-02-27,South,Electronics,Phone Charger,2,24.59,49.18,Credit Card
NG-1039,2024-01-29,Northeast,Fitness,Foam Roller,3,44.09,132.27,Apple Pay
NG-1040,2024-02-27,Northeast,Home Essentials,Coffee Maker,5,146.36,731.8,Apple Pay
NG-1041,2024-02-13,South,Home Essentials,Air Purifier,1,117.21,117.21,Apple Pay
NG-1042,2024-01-06,West,Home Essentials,LED Desk Lamp,3,60.73,182.19,Apple Pay
NG-1043,2024-02-02,West,Fitness,Foam Roller,5,25.88,129.4,Credit Card
NG-1044,2024-01-17,Northeast,Fitness,Resistance Bands,2,100.25,200.5,Credit Card
NG-1045,2024-02-20,Midwest,Home Essentials,LED Desk Lamp,4,137.68,550.72,Credit Card
NG-1046,2024-02-17,Northeast,Home Essentials,Electric Kettle,1,125.14,125.14,Credit Card
NG-1047,2024-02-21,Northeast,Electronics,Wireless Mouse,2,57.26,114.52,Apple Pay
NG-1048,2024-02-06,West,Fitness,Adjustable Dumbbells,5,17.31,86.55,Apple Pay
NG-1049,2024-01-08,Northeast,Fitness,Yoga Mat,3,119.21,357.63,Apple Pay
NG-1050,2024-01-03,Midwest,Fitness,Resistance Bands,5,109.27,546.35,Apple Pay
NG-1051,2024-03-25,South,Fitness,Resistance Bands,4,24.94,99.76,Credit Card
NG-1052,2024-02-16,Northeast,Electronics,Wireless Mouse,5,83.11,415.55,Credit Card
NG-1053,2024-03-05,Midwest,Electronics,Bluetooth Speaker,5,58.78,293.9,Credit Card
NG-1054,2024-01-02,West,Electronics,Phone Charger,2,115.35,230.7,PayPal
NG-1055,2024-02-12,Northeast,Electronics,Noise Cancelling Headphones,4,140.51,562.04,Credit Card
NG-1056,2024-01-05,Northeast,Fitness,Adjustable Dumbbells,2,15.39,30.78,PayPal
NG-1057,2024-03-19,South,Fitness,Resistance Bands,5,73.55,367.75,Apple Pay
NG-1058,2024-02-05,West,Electronics,Phone Charger,5,124.84,624.2,Credit Card
NG-1059,2024-03-03,Midwest,Home Essentials,Coffee Maker,4,142.68,570.72,Apple Pay
NG-1060,2024-03-11,South,Electronics,Wireless Mouse,1,52.33,52.33,Apple Pay
